Time (s)	Throttle (u)	Thrust (N)
11.3230	366	-0.066107
11.3350	448	-0.099183
11.3470	539	-0.071717
11.3590	633	0.018549
11.3700	726	0.166140
11.3820	811	0.388397
11.3940	885	0.679376
11.4060	943	1.035925
11.4170	981	1.437306
11.4290	998	1.862757
11.4410	992	2.297393
11.4530	964	2.684806
11.4640	915	2.994938
11.4770	848	3.210960
11.4880	766	3.303103
11.5000	675	3.267636
11.5110	580	3.103307
11.5240	486	2.846320
11.5350	398	2.485814
11.5460	321	2.077684
11.5580	261	1.645908
11.5700	220	1.224525
11.5820	202	0.850007
11.5930	206	0.524544
11.6060	234	0.262216
11.6170	283	0.072365
11.6290	350	-0.045546
11.6400	433	-0.069392
11.6530	525	-0.072588
11.6640	621	0.006503
11.6760	717	0.132080
11.6870	806	0.356751
11.7000	882	0.627639
11.7110	942	0.995877
11.7230	981	1.412187
11.7350	998	1.850778
11.7470	991	2.282196
11.7580	960	2.671442
11.7700	908	2.988680
11.7820	837	3.202512
11.7940	751	3.286699
11.8050	657	3.238091
11.8170	559	3.052642
11.8290	463	2.769239
11.8400	375	2.402230
11.8520	301	1.977115
11.8640	245	1.543909
11.8760	211	1.132270
11.8870	201	0.759451
11.8990	215	0.447956
11.9110	252	0.197405
11.9230	311	0.034126
11.9340	388	-0.053905
11.9470	478	-0.083941
11.9580	576	-0.053637
11.9700	675	0.043736
11.9810	770	0.216893
11.9940	854	0.473388
12.0050	922	0.829983
12.0170	970	1.229867
12.0280	995	1.660010
12.0410	995	2.105128
12.0520	970	2.519248
12.0630	922	2.872378
12.0760	853	3.125454
12.0870	768	3.257512
12.0990	673	3.241756
12.1100	572	3.080846
12.1230	473	2.812931
12.1340	382	2.459599
12.1460	305	2.052407
12.1580	247	1.618420
12.1700	211	1.191852
12.1810	201	0.807411
12.1930	216	0.479601
12.2050	255	0.218212
12.2170	317	0.048787
12.2280	398	-0.043692
12.2400	491	-0.072410
12.2520	592	-0.031623
12.2640	693	0.072611
12.2750	789	0.255512
12.2880	872	0.520432
12.2990	937	0.884715
12.3110	980	1.291437
12.3220	998	1.732733
12.3350	990	2.181962
12.3460	956	2.582405
12.3570	898	2.914908
12.3690	821	3.147758
12.3810	729	3.234739
12.3930	628	3.168251
12.4040	525	2.976769
12.4170	427	2.688494
12.4280	340	2.303159
12.4400	271	1.866445
12.4510	224	1.422981
12.4640	202	1.006850
12.4750	207	0.639215
12.4870	238	0.339632
12.4990	294	0.123431
12.5110	371	-0.003486
12.5220	463	-0.055425
12.5340	565	-0.040585
12.5460	669	0.035601
12.5580	768	0.189919
12.5690	856	0.449475
12.5810	927	0.792817
12.5930	975	1.189796
12.6040	997	1.636723
12.6160	992	2.088970
12.6280	960	2.511135
12.6400	902	2.864176
12.6510	824	3.103463
12.6630	730	3.205350
12.6750	627	3.153949
12.6870	522	2.965349
12.6980	422	2.668894
12.7100	334	2.286978
12.7220	265	1.851784
12.7340	220	1.408991
12.7450	201	0.988949
12.7580	210	0.620509
12.7690	247	0.319116
12.7810	309	0.123119
12.7920	391	-0.001520
12.8050	488	-0.054464
12.8160	594	-0.034618
12.8280	699	0.066264
12.8390	798	0.246125
12.8520	883	0.508342
12.8630	947	0.856220
12.8740	987	1.283034
12.8870	998	1.741605
12.8980	981	2.200780
12.9100	937	2.616554
12.9210	867	2.941882
12.9340	779	3.141724
12.9450	677	3.195383
12.9570	570	3.078768
12.9690	464	2.830944
12.9810	369	2.479534
12.9920	290	2.050016
13.0040	234	1.600653
13.0160	204	1.164475
13.0280	204	0.761306
13.0390	233	0.434167
13.0510	289	0.195148
13.0630	368	0.038618
13.0750	464	-0.037009
13.0860	570	-0.036965
13.0990	679	0.039468
13.1100	781	0.202233
13.1210	871	0.455956
13.1330	940	0.787632
13.1450	984	1.190444
13.1570	999	1.652814
13.1680	984	2.125689
13.1800	940	2.548681
13.1920	870	2.886257
13.2040	780	3.107240
13.2150	676	3.179158
13.2280	566	3.081852
13.2390	459	2.844331
13.2510	362	2.485680
13.2620	284	2.048251
13.2750	229	1.587668
13.2860	203	1.142104
13.2980	207	0.743382
13.3100	241	0.416533
13.3220	302	0.175101
13.3330	387	0.026327
13.3450	488	-0.035154
