Time (s)	Throttle (u)	Thrust (N)
7.544	100	0.067940
7.556	100	0.070711
7.569	100	0.076052
7.580	100	0.071583
7.591	100	0.071493
7.603	100	0.074264
7.615	100	0.076365
7.627	100	0.080097
7.638	100	0.072924
7.651	100	0.071605
7.662	100	0.071136
7.674	100	0.071672
7.685	100	0.069415
7.698	100	0.072655
7.709	100	0.072320
7.721	100	0.069124
7.733	100	0.074689
7.745	100	0.070756
7.756	100	0.069035
7.768	100	0.066018
7.780	100	0.069705
7.792	100	0.071449
7.803	100	0.068543
7.814	100	0.068722
7.827	100	0.075114
7.838	100	0.068454
7.850	100	0.068029
7.862	100	0.072499
7.874	100	0.072722
7.885	100	0.072365
7.897	100	0.072477
7.909	100	0.073862
7.921	100	0.072924
7.932	100	0.071851
7.944	100	0.071404
7.956	100	0.070398
7.968	100	0.070286
7.979	100	0.076455
7.992	100	0.072611
8.003	100	0.074957
8.015	100	0.083182
8.026	100	0.078243
8.039	100	0.065839
8.050	100	0.068834
8.062	100	0.069169
8.073	100	0.076209
8.086	100	0.077416
8.097	100	0.075985
8.108	100	0.074510
8.121	100	0.072566
8.132	100	0.070018
8.144	100	0.074913
8.155	100	0.078444
8.168	100	0.074264
8.179	100	0.067895
8.191	100	0.072499
8.203	100	0.076790
8.215	100	0.075494
8.226	100	0.069191
8.238	100	0.071113
8.250	100	0.078578
8.262	100	0.072544
8.273	100	0.071895
8.285	100	0.072722
8.297	100	0.074980
8.309	100	0.077617
8.320	100	0.072834
8.333	100	0.071560
8.344	100	0.071672
8.356	100	0.070085
8.367	100	0.065906
8.380	100	0.071493
8.391	100	0.073683
8.402	100	0.072700
8.414	100	0.071650
8.426	100	0.072253
8.438	100	0.077371
8.449	100	0.076969
8.462	100	0.072141
8.473	100	0.077639
8.485	100	0.074734
8.496	100	0.061883
8.509	100	0.069661
8.520	100	0.074421
8.532	100	0.076902
8.544	100	0.068811
8.556	100	0.060475
8.567	100	0.070890
8.579	100	0.071873
8.591	100	0.074756
8.603	100	0.076812
8.614	100	0.066420
8.626	100	0.071605
8.638	100	0.074175
8.650	100	0.067761
8.661	100	0.070443
8.674	100	0.070085
8.685	100	0.076902
8.696	100	0.074019
8.708	100	0.070152
8.721	100	0.069638
8.732	100	0.071940
8.743	100	0.063448
8.755	100	0.065548
8.767	100	0.075471
8.779	100	0.073996
8.790	100	0.074421
8.803	100	0.074778
8.814	100	0.074644
8.826	100	0.073929
8.837	100	0.075650
8.850	100	0.070666
8.861	100	0.066755
8.873	100	0.071024
8.885	100	0.075248
8.897	100	0.073393
8.908	100	0.076432
8.920	100	0.076678
8.932	100	0.073527
8.944	100	0.069951
8.955	100	0.069929
8.967	100	0.066063
8.979	100	0.077818
8.991	100	0.081863
9.002	100	0.073952
9.015	100	0.077594
9.026	100	0.081729
